url,url_alt,date,short,tease,tease_flag,hed,dek,hed_flag,dek_flag,author,bgColor,fgColor,color_override,keyword,hide_all,hide_footer,filters,faves,home_text,home_pick,collection,last_checked,needs_fixing,fix_note
2023/02/nba-unexpected,https://www.youtube.com/watch?v=jV49bDzkQhY,02/23/2023,nba performances,We used statistics to find out which NBA players have had the greatest unexpected performances.,95,The Greatest Unexpected NBA Performances,Using Gamescore and statistics to find the biggest single-game outliers.,40,72,russell,,,,"nba, basketball, z-score, anomalies, outliers",,,video,,,,,9/25/2024,,
2023/03/same-name,,03/21/2023,same city names,"Portland, Maine, or Oregon? We calculated what place someone is most likely referring to, depending on where they are.",118,A Map of Places in the US with the Same Name,"We calculated what place someone is most likely referring to, depending on where they are",44,89,russell,,,,"map, us, places, same, name, cities, towns, shared",,,,,,,,9/25/2024,,
games/where,,04/19/2023,where in the usa,We made a short daily photo location guessing game that is a mashup of GeoGuessr and Wordle.,92,Where in the USA is this?,A daily photo location guessing game.,25,37,russell,,,,"game, wordle, geo, geoguessr, location, photo, quiz, usa",,,"updating,popular",,,,,9/25/2024,,
2023/05/dark-patterns,,05/03/2023,dark patterns,We unsubscribed from 16 subscription services and documented the ways companies made it challenging.,100,How companies use dark patterns to keep you subscribed,Unsubscribing should be easy. It’s not.,54,39,"caroline,tynesha,matt",,,,"design,dark patterns",,,,,,,,9/25/2024,,
2023/05/kimchi,,05/11/2023,grandma's kimchi,"Alvin loved his grandmother's fresh kimchi. But as he aged, could he rediscover the defining flavor of his childhood?",117,The search for my kimchi,"I loved my grandmother's fresh kimchi. But as I aged, tasting the defining flavor of my childhood became elusive.",24,113,alvin,,,,"kimchi, illustration, illustrated, grandmother, recipe, food",,,,,,,,9/25/2024,,
2023/05/country-radio,,05/22/2023,country radio diversity,"Country music is powered by women like Carrie Underwood and Maren Morris, but even they are barely played back-to-back.",119,They Won't Play A Lady-O on Country Radio,"Examining back-to-back plays by gender, race, and sexual orientation",41,68,"jan, jada",,,,"music, country, radio, gender, race, sexual orientation, representation",,,,jan,plays on country radio,jan,music,9/25/2024,TRUE,labels/spacing/reveal on scrolly chart
2023/06/groove,,06/01/2023,wonky rhythms,We break down J Dilla's signature off-beat timefeel.,52,Wonky,An exploration of rhythm and grooves that break the rules,5,57,michelle,,,,"music, drums, groove, j dilla, dilla, hip hop",,,audio,alvin,,,music,9/25/2024,,
2023/06/asterisks,,06/13/2023,nba champ asterisks,"Introducing CRUTCH, Our New Metric For Asterisking NBA Champions.",65,Asterisking NBA Champions,The official haters guide for salty fans.,25,41,russell,,,,"nba, champions, asterisk, basketball, crutch, metric",,,,,,,,9/25/2024,,
2023/06/pass-the-mic,https://chrome.google.com/webstore/detail/pass-the-mic/pjhefpcmnfnepcpcgbjgnphmpalihbhl,06/28/2023,who's talking,This is not a story. We made a browser extension to visualize how much each person is talking in Google Meet.,109,How much each person is talking in Google Meet,A browser extension for your next meeting.,46,42,russell,,,,"chrome, extension, pass, mic, talk, speak, share, google, meet",,TRUE,,,,,,9/25/2024,,
2023/07/songwriters,,07/20/2023,women songwriters,This is how rare it is for a hit song to be credited to an all-women songwriting team.,86,"Songwriting credits since 1958, broken down by gender","Women are superstars on stage, but still rarely get to write songs",53,66,"chris,ashley",,,,"songwriting,music,gender,music",,,,,,,,9/25/2024,,
projects/heat-records-map,,08/02/2023,record highs mapped,We're tracking how the hottest year on Earth is affecting U.S. heat records.,76,Mapping Record-High Heat in U.S. Cities,We're tracking how the hottest year on Earth is affecting heat records.,39,71,matt,,,,"weather,map,heat",,,updating,,,,,9/25/2024,,
projects/clocks,,08/21/2023,data clocks,A series of experimental clocks that connect data to time.,58,Data Clocks,Clocks that connect data to time,11,32,russell,,,,"clock, spotify, music, songs, time",,,updating,russell,,,,9/25/2024,,
projects/clocks/songs,,08/21/2023,song title clock,A clock where the time is in a song title,41,A clock where the time is in a song title,A clock where the time is in a song title,41,41,russell,,,,"clock, spotify, music, songs, time",TRUE,TRUE,,,,,,9/25/2024,,
projects/clocks/videos,,08/28/2023,youtube mention clock,A clock where the time is mentioned on YouTube,46,A clock where the time is mentioned on YouTube,A clock where the time is mentioned on YouTube,46,46,russell,,,,"clock, spotify, music, songs, time",TRUE,TRUE,,,,,,9/25/2024,,
projects/clocks/news,,09/04/2023,new headline clock,A clock where the time is made of news headlines,48,A clock where the time is made of news headlines,A clock where the time is made of news headlines,48,48,russell,,,,"clock, spotify, music, songs, time",TRUE,TRUE,,,,,,9/25/2024,,
projects/clocks/populations,,09/11/2023,population clock,A clock where the time is the population of a US place,54,A clock where the time is the population of a US place,A clock where the time is the population of a US place,54,54,russell,,,,"clock, spotify, music, songs, time",TRUE,TRUE,,,,,,9/25/2024,,
2023/09/invisible-epidemic,,09/25/2023,loneliness epidemic,"Watch 24 hours of an American day, and the invisible crisis hiding in plain sight.",82,24 hours in an invisible epidemic,"Watch 24 hours of an American day, and the invisible crisis hiding in plain sight.",33,82,alvin,,,,"survey, time, spent, american, day, spend, people",,,,matt,,,,9/25/2024,,
2023/10/romance-covers,,10/16/2023,romance novel covers,"What does a happily ever after look like? We look at over 1,400 romance covers to find out what visuals are used.",113,What Does a Happily Ever After Look Like?,"We looked at over 1,400 romance covers to measure raunchiness, art style, and diversity.",41,88,"alice-liang, jan",,,,"romance, book, novel, race, representation, design, illustration, cover",,,,,,,,9/25/2024,,
2023/10/genre,,10/25/2023,music genres,"Spotify tracks over 6,000 genres—everything from ""rock"" to ""stomp-and-holler."" Here's why that's cool.",102,You should look at this chart about music genres.,How Spotify's expanding catalog reflects 2023's musical frontier,49,64,"matt, michelle",,,,"music,genre,spotify",,,,,,,,9/25/2024,,
pudding-cup,,11/14/2023,the pudding cup,The best visual and data-driven stories,39,The Pudding Cup,The best visual and data-driven stories,15,39,pudding,,,,cup,TRUE,TRUE,,,,,,9/25/2024,,
2024/02/anthems,,02/12/2024,national anthem divas,We listened to 138 National Anthem performances so you don't have to. Here are the biggest divas.,97,The Diva-ness of 138 National Anthem Performances,We compared 138 US National Anthem performances to see who is the ultimate diva,49,79,"jan, michelle",#f8614a,#000,,"music, national anthem, us, united states, usa, star spangled banner, diva",,,audio,michelle,national anthem performances,"michelle,jan",,9/25/2024,,
2024/03/greatest-music,,03/07/2024,greatest albums,"We examined what shapes “greatness” in music, according to Rolling Stone's 500 greatest albums of all time.",107,What Makes an Album the Greatest of All Time?,Examining 30 years of Rolling Stone’s “Greatest Albums of All Time” Rankings,45,76,"chris,matt",#c9c9c9,#000,,music,,,,,,,,9/25/2024,,
projects/flipbook,,03/16/2024,flipbook,The results from making a crowd-sourced flipbook animation.,59,The Flipbook Experiment,The results from making a crowd-sourced flipbook animation.,23,59,russell,#000,#fff,,"draw, game, art, illustration, flipbook, animation, pen, pencil",,,your_input,alvin,,,,9/25/2024,,
2024/03/teenagers,,04/09/2024,teens into adults,Watch hundreds of teenagers grow up into adults – and see how their lives turn out.,83,This is a teenager,Watch hundreds of teenagers grow up into adults – and see how their lives turn out,18,82,alvin,#ac62d0,#000,,"survey, time, teenager, life",,,"video,popular",,,,,9/25/2024,,
2024/06/climate-zones,,06/19/2024,city climates,Explore how your city will feel in the future.,46,Climate Zones,Explore how your city will feel in the future.,13,46,derek,#e0e0e0,#000,,"climate,weather,maps",,,,,,,,9/25/2024,,
2024/06/ydc,https://ydcpodcast.org,06/26/2024,ydc investigation,"We analyzed 1,281 court documents of alleged child abuse in New Hampshire youth facilities. Here’s what they show.",114,Failures to Act,"We analyzed 1,281 court documents of alleged child abuse in New Hampshire youth facilities. Here’s what they show.",15,114,russell,#33a1a0,#000,,"court, abuse, youth, child, new hampshire",,,,,,,,9/25/2024,,
2024/07/scifi,,07/11/2024,sci-fi worlds,Explore science fiction worlds from the last few decades – and what these fictional settings tell us about ourselves.,117,Who killed the world?,Explore science fiction worlds from the last few decades – and what these fictional settings tell us about ourselves,21,116,alvin,#fd52fc,#000,,"sci-fi, scifi, film, tv, movie, media, alien, space, theme",,,video,,,,,9/25/2024,,
2024/07/sleep-training,,07/25/2024,infant sleep training,We examined the social media and medical discourse on infant sleep training.,76,Is Sleep Training Harmful?,Misinformation and facts behind the internet’s most polarizing parenting debate.,26,80,tom,#779ec5,#000,,sleep training,,,,,,,,9/25/2024,,
2024/07/ai,,07/30/2024,ai-generated story,We had an AI attempt to make a data-driven story like we do at The Pudding.,75,"Can an AI make a data-driven, visual story?",We review and grade what it created.,43,36,"russell, michelle",#e4e236,#000,,"ai, chatgpt, openai, claude, artificial, intelligence",,,,,,,,9/25/2024,,
2024/09/courts,,09/15/2024,bball courts mapped,"There are 59,507 outdoor basketball courts in the U.S.A. Explore satellite imagery of all of them.",98,Every Outdoor Basketball Court in the U.S.A.,"Explore Satellite Imagery of 59,507 Basketball Courts",44,53,matt,#0f1315,#fff,,"basketball, courts",,,,,,,,9/25/2024,,
2024/09/lineup,,09/24/2024,baseball lineups,See how modern stats are reshaping baseball’s batting lineups.,62,Batting by the Numbers,The evolution of baseball's perfect lineup,22,42,"michelle, neil",#5b5b5b,#fff,,"sports, baseball, lineup, hitting, mlb",,,,,,,,9/25/2024,,
2024/10/fanfic,,10/09/2024,fanfic ships,We looked at a decade of fanfic couples. See who gets shipped and why.,70,Who Gets Shipped?,An analysis of the top fanfic relationship pairings on Archive of Our Own from 2013–2024.,17,89,"ashley,florina,jan,caitlyn",#2c2c2c,#fff,,"fanfic, fanfiction, fan, fic, fiction, ao3, relationship, ship, slash, femslash, canon, non-canon, rpf, real person fiction, data, analysis, couple, pair, friendship",,,,,fanfic ships,jan,,10/8/2024,,
2024/10/kpop-survey,,10/15/2024,k-pop generations,"Organize these K-pop groups by generation, and we'll make an article using the results.",87,Defining Generations in K-pop,We want fans to have the opportunity to vote and determine the answers.,29,71,"eunice,minji,caitlyn,jared-whalen",#292929,#fff,,"music,kpop,survey",,,your_input,,,,,10/12/2024,,
2024/10/crokinole,,10/16/2024,all about crokinole,"Welcome to Crokinole, the greatest game you’ve never heard of.",62,The Greatest Game You’ve Never Heard of,"This isn’t just a flicking game, but a century-old test of skill and strategy.",39,78,russell,#fe523c,#000,,"game, disc, sport, crokinole, flick, simulation, physics",,,,russell,crokinole,russell,,10/16/2024,,
2024/10/crokinole/play,,10/16/2024,cronkinole simulator,Crokinole Simulator 3000,24,Crokinole Simulator 3000,Can you win a round against Crokinole Bot?,24,42,russell,#fe523c,#000,,"game, disc, sport, crokinole, flick, simulation, physics",TRUE,TRUE,,,,,,10/16/2024,,
2024/10/abortion-mazes,,10/21/2024,abortion mazes,A maze for each state where the difficulty is calculated by the state’s abortion policies.,90,The United States of Abortion Mazes,We built a maze for each state where the difficulty is calculated by the state’s abortion policies.,35,99,"jan, michelle",,,,"abortion, maze, health, health care, reproductive rights, womens rights, bodily autonomy, roe v. wade, dobbs, supreme court, pregnancy",,,,caitlyn,,,,10/21/2024,,
2024/10/nba-uniforms,,10/24/2024,nba jersey colors,We took a look at the data behind the increasingly vibrant (and maybe a little confusing) landscape of NBA jerseys.,115,Colors of the Court,"Traditions, trends, and who's wearing what in today's NBA",19,57,"tyler, jan",,,,"basketball, nba, jersey, uniform, court, style, color, design",,,,,,,,10/24/2024,,
2024/10/queues,https://youtu.be/2r3gElTiLik,10/28/2024,queueing theory,Queues are everywhere we go—discover the hidden mechanics that keep them moving smoothly.,89,An expert explains why queues are so tricky,Queues are everywhere we go—discover the hidden mechanics that keep them moving smoothly.,43,89,"mureji, uri, michelle",,,,"queues, queueing theory, lines, math",,,video,,,,,10/28/2024,,
2024/11/love-songs,,11/11/2024,love songs,"Is love dead in pop music? We checked all 5,141 Top 10 hits since 1958.",71,Is the Love Song Dying?,We categorized songs in the Billboard Top 10 to see if love songs are on the decline.,23,85,"david, michelle-jia",,,,"love, love songs, billboard, pop, serenade, music",,,,,,,,11/11/2024,,
2024/11/sitters-standers,,11/19/2024,sitters vs standers,"The American worker divide: Those who sit, and those who stand.",63,Sitters and Standers,"The American worker divide: Those who sit, and those who stand",20,62,alvin,,,,"sit, stand, work, survey",,,video,,,,,11/20/2024,,
2025/02/middle-school,,03/03/2025,middle school sucks,Follow hundreds of kids as they navigate their trecherous middle school years.,78,The Middle Ages,,15,,alvin,,,,"school, survey, middle",,,,,,,,3/3/2025,,
2025/03/language,,03/10/2025,animal sounds,Analyzing animal onomatopoeia across languages can demystify how we shape sound into meaning.,93,Onomatopoeia Odyssey,,20,,vivian-cohort,,,,"language, sound, animal, noise, onomatopoeia",,,,,,,,03/10/2025,,
2025/03/housewives,,03/19/2025,rhoslc apologies,What we can learn from watching reality stars apologize.,56,What we can learn from watching reality stars apologize,,55,,michelle,,,#F9E4FF,"housewives, real housewives, rhoslc, bravo, apology, apologies, sorry, therapist",,,,,,,,3/19/2025,,
2025/04/music-dna,,04/01/2025,music dna legacies,"We trace musical DNA from the classical ""Hall of the Mountain King"" to 2pac's ""Hit Em Up."" ",91,The Generational Legacy of Samples in Music,,43,,"stephen-lurie, jared-whalen",,,,"music,samples,dna",,,,matt,,,,4/1/2025,,
2025/04/wine-animals,,04/16/2025,wine animals,We try to predict the price and quality of a bottle of wine based on the animal on the label.,93,The Pour-igin of Species,,24,,"fox,jan",,,,"wine,chat-gpt,ai,vision,label,animal,image,price,quality,value",,,,,,,,4/16/2025,,
2025/04/birthday-effect,,05/08/2025,birthday effect,Are you more likely to die on your birthday? Yes.,49,Are you more likely to die on your birthday?,,44,,russell,,,,"birthday, death, statistics, math, explainer, z-score, p-value",,,,,,,,5/8/2025,,
2025/05/aapi-casting,,05/28/2025,asian representation,How accurately are Asian Americans cast in Hollywood?,53,Asian Misrepresentation,,23,,"dorothy, anna",,,#d07971,"asian,american,film,casting,movie",,,,,,,,5/28/2025,,
2025/06/loneliness,https://www.youtube.com/watch?v=h7w339vE2F8,06/05/2025,loneliness video,"A six-minute video about the loneliness epidemic, in data.",58,"The Loneliness Epidemic, in Data",,32,,"matt,alvin",,,,"survey, time, spent, american, day, spend, people",,,video,,,,,6/5/2025,,
2025/06/hello-stranger,,06/12/2025,strangers talking,"Watch hundreds of strangers talk for 30 minutes, and track how their moods change.",82,30 Minutes with a Stranger,,26,,alvin,,,,"stranger,conversation,experiment,study",,,,,,,,6/5/2025,,
2025/07/kids-books,,07/07/2025,kids book animals,How and why do we gender animals in stories?,44,Bears Will Be Boys,,18,,"melanie, russell, michelle, jan",,,,"gender, animals, kids, books, children, pronouns, stereotypes, bias",,,,,,,,7/7/2025,,
2025/07/street-view,,07/24/2025,nyc street view,What if you could search every visible word on New York City’s streets?,71,NYC's Urban Textscape,,21,,"yufeng-zhao,matt",,,,"nyc,streetview,google,maps,satellite,words,text",,,,,,,,7/24/2025,,
2025/08/onions,,08/12/2025,dicing onions,What is the best way to dice an onion to get the most uniform piece sizes?,74,"Dicing an Onion, the Mathematically Optimal Way",,47,,"andrew-aquino,russell,jan",,,,"cut,math,stats,standard deviation,onion,kenji,cook",,,,,,,,8/12/2025,,
2025/10/walk,,10/20/2025,walkachusetts,A visually-aided journal of a very long walk home.,50,What it’s like to walk across Massachusetts,,43,,russell,,,,"walk,massaschusetts,achilles,injury,longform,writing,words,illustration,map",,,,,,,,10/25/2025,,
2025/11/democracy,,11/03/2025,democracy,Every time someone said 'democracy' in Congress.,48,In pursuit of democracy,,23,,alvin,,,,"democracy,politics,congress,trump,elections,speeches",,,,,,,,10/31/2025,,
2025/12/motifs,,12/09/2025,musical motifs,Visualizing how musicals use motifs to tell stories.,52,Common Threads,,14,,michelle,,,#FDE300,"music, motifs, themes, storytelling, musicals, broadway, les miserables, hamilton, wicked, music theory",,,,,,,,12/9/2025,,
